replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1
1,112026012,TRUE,0,0,,250,30500,122,122,122,178343.02238427487,35,513.8627510070801,0.3238360655737705,1.6668114270180618,1.1282077988651722,0.09235632119382285,-0.0935883394820786,0.15649212021602416,0.9011200930961093,-0.036209499751321275,0.013892222674795434,-0.013224887686426713,0.6629389846089485,-0.09685284874485046,0.09963606038342286,0.019898584485822757,0.022524908488000917,0.021959188937336557,0.008625343513407708,0.03662421984363999,0.024136161897542485,0.016784545551473094,0.005253962857632093,0.03291972020543725,0.019215908216335526,0.005576302177605924,0.0016979249642980333,0.015303578994502888
2,112026013,TRUE,0,0,,250,30500,122,122,122,178978.0000172677,37,530.1618990898132,0.32311475409836066,1.6668005552877276,1.082846753391806,0.08355237189842615,-0.09331671279763287,0.19273432639825344,0.9909076348645308,-0.00444206429073271,-0.009881616093405392,0.019660880910102346,0.6827845432452638,-0.09806373640868443,0.10180261592189586,-0.004643828925451768,0.025298849068002466,0.0258984189919922,0.01099697419520161,0.041848670229044864,0.023536316330861434,0.019679826333760277,0.006222970520392507,0.033777014745042376,0.018925593504293427,0.005488693240334056,0.0017192668107292996,0.014838953723828284
3,112026014,TRUE,0,0,,250,30500,122,122,122,178119.8835820225,37,530.6173861026764,0.3276065573770492,1.666761172492943,1.0784884121596967,0.16112079037263444,-0.11834551117500225,0.16787804868637915,0.92035799674343,-0.042856669554074106,0.009225827066740458,-0.029864169154267706,0.6881426680093179,-0.10067757340668515,0.10060730734639413,0.004166506478888282,0.02494937597456181,0.027442926169858713,0.01069411540010121,0.03804658521951909,0.024395571976596454,0.018665412909403555,0.0058947648860080875,0.035813401265586374,0.018469134192784804,0.005830411491407644,0.0017647444798209349,0.015044515054952613
4,112026015,TRUE,0,0,,250,30500,122,122,122,178459.07885649498,35,519.5737729072571,0.3261967213114754,1.6675796188070915,1.0866664300672002,0.11342210679008118,-0.11118571935880414,0.17155908611451826,0.9206653785360253,0.0014076539504815206,6.552731065761981e-4,-0.011180830727126887,0.6982154995049573,-0.10249511580628086,0.1005787278914397,0.015621721198473796,0.024973805833816122,0.02588133680310311,0.010914338308503,0.04155821068829387,0.024752560771113197,0.02001993554662409,0.005892282081328615,0.032787928503931425,0.01811802769041253,0.005533767971195017,0.0017229921405129713,0.014702467114263075
5,112026016,TRUE,0,0,,250,30500,122,122,122,178353.105724654,36,527.2244310379028,0.32468852459016395,1.6675054577747384,1.103672342413607,0.09707406950506163,-0.09277317807256837,0.15391217012988864,0.9199933111300043,-0.007465873051402857,0.005991824916110257,-0.004440596507683883,0.6487855685368837,-0.09479717148154991,0.10117344625866105,0.009553636392227269,0.0237158924605043,0.023075936630698714,0.009489217004817734,0.03803818176640105,0.02397920097237712,0.018229450655102567,0.00546479639735361,0.03138678376554677,0.019818252206513325,0.005404252582374725,0.0017203896615546465,0.015305275065625906
6,112026017,TRUE,0,0,,250,30500,122,122,122,178448.84439976726,37,354.24981594085693,0.3234754098360656,1.6669995476534647,1.1131086712779465,0.0899773744186884,-0.0970690142024532,0.23020106791122372,0.9173686123273866,-0.012372008067685653,0.0036963135008995732,0.03413823976683941,0.6863019626340087,-0.10699349340075381,0.10102717446655878,0.009536720305997625,0.023722004527119395,0.023561077193957898,0.009394901451973778,0.03691607837418859,0.02465906684759415,0.019721864101245885,0.005834793117821711,0.031923803530971594,0.018781838375977432,0.005545937258361459,0.0017266021407605873,0.015339487169563038
7,112026018,TRUE,0,0,,250,30500,122,122,122,178440.90151546773,36,527.5503849983215,0.3241967213114754,1.666940023161639,1.070606960347249,0.10897133126488431,-0.09817273550654125,0.17046939137091166,0.8967225052646237,0.02367982257360001,-0.0036280740135645525,-0.03464882665631358,0.6961823934058791,-0.09666811027740152,0.09851548369921863,0.021422325159783876,0.02424548808945294,0.02373277619715059,0.009475331281577152,0.04054740742794503,0.025224787990361635,0.020533160355736654,0.006102505120032386,0.03349171113075918,0.01793423024513888,0.00506820672346981,0.0016388967737232484,0.015098205462922622
8,112026019,TRUE,0,0,,250,30500,122,122,122,178162.9913935628,35,520.7896997928619,0.3228524590163934,1.6670079919317535,1.1054143824479792,0.08090215675529244,-0.09660810786714404,0.20388205641193985,0.9313873918369994,0.01724194085937498,-0.004988333957863535,-0.03449159755919703,0.6901018233842248,-0.1134996655280376,0.10218695754017826,0.02036626303310906,0.024787225377911445,0.025068153701109257,0.010130596281199904,0.039606371300662115,0.025752334776677238,0.022483468035908262,0.006476278318556123,0.03263939822126117,0.018920003891896672,0.005448812589569836,0.0017405175904071817,0.014978920240160683
9,112026020,TRUE,0,0,,250,30500,122,122,122,178548.5824639899,35,514.3318932056427,0.3219344262295082,1.66688885069672,1.114768646605513,0.034706710368976317,-0.0887864721047078,0.2567178910727121,0.9428315309623597,-0.0022417496787826203,-9.707448811346991e-4,0.050225290265192006,0.6780284377229189,-0.093873236736053,0.10023763495300178,-0.00988529440119012,0.02359270570334681,0.022618067025839416,0.009505567143313751,0.04215084227407766,0.02383094944234257,0.019961592635366315,0.005914448008019306,0.03146002850735035,0.018994941099775436,0.005569155800100638,0.0017193559795435074,0.015044432676372843
10,112026021,TRUE,0,0,,250,30500,122,122,122,178954.9043504085,38,538.42498779296875,0.32521311475409836,1.6666678907843562,1.0939689450522085,0.13442007113298474,-0.10944159118678491,0.1923004946304103,0.9220826593386067,0.014327564523032429,-0.0037873125390294827,-0.061974416318179106,0.6971077676250338,-0.10756004015106568,0.10160853298166814,0.012081682505430713,0.024402287700544045,0.025640782633507594,0.010359979670025382,0.03839538428047816,0.024503569450894613,0.020194675973415274,0.00615347240441298,0.034495641016129945,0.01828351385129404,0.005256232912441823,0.0016849462219314004,0.015127777703730328
11,112026022,TRUE,0,0,,250,30500,122,122,122,178748.04906214806,35,520.9984040260315,0.3244590163934426,1.667083695433545,1.1295012232602113,0.04812588008638392,-0.08034218762287369,0.2044158979374746,0.8826474427828244,0.037005477478689576,-0.010246017186829688,-0.004324964334847968,0.7122157070409585,-0.10706215147008474,0.09938152437135396,0.014994992386198306,0.02327177314829549,0.022238549372309353,0.009040227078197495,0.03941873765913005,0.027053600934063123,0.02440615191338784,0.00698918852129021,0.03447604886027719,0.01898745728506163,0.005339836150632543,0.0017294375895549607,0.01521165528011868
12,112026023,TRUE,0,0,,250,30500,122,122,122,178709.24758217,35,516.4294309616089,0.32629508196721313,1.6667802410110197,1.1302162650557754,0.10541065445999033,-0.0965926275939338,0.16899373599972004,0.9377381910744574,-0.013247022236190918,0.002338227504888619,0.03511435259083806,0.6763197016372274,-0.09551558124898063,0.09927249726677352,-0.0029133452605104014,0.023128500148016037,0.023394092425941853,0.009237980768374737,0.03748984899100716,0.024208243916425613,0.019162073038343875,0.005836080124209539,0.032936712425755896,0.019318392897724645,0.005607193587997006,0.0017654543281407124,0.015457993720914524
13,112026024,TRUE,0,0,,250,30500,122,122,122,178496.3934736038,37,540.8162441253662,0.3202622950819672,1.6674425116816716,1.0948347005684587,0.09838113174030463,-0.10007871111753291,0.1859656546491419,0.9130867857932004,0.006232465776273758,-0.00629496006433059,-0.01283111464131009,0.7068104536666546,-0.09790273511678965,0.09921295763350134,-0.0036623328711234727,0.024116898134372615,0.02273411555896624,0.009565413246029674,0.03986815278868131,0.02521249923782297,0.020712314606217714,0.006392899843297221,0.034782981975448574,0.018478016786242814,0.0051116871446563236,0.0016691008317432806,0.014824529085500023
