time,historical,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,event_experienced,population_variance,recovered_central
-3,0,Additive genetic variance,500,0.40741897397035615,0.3817435528237654,0.14649814667890138,0.8068841438598638,0,0.36287181315764994,0.40741897397035615
-3,0,Common environmental variance,500,2.2930078231655364,2.314654177054747,1.0455922274783127,3.655076034970043,0,2.25,2.2930078231655364
-3,0,Nonshared environmental variance,500,3.8923497777821123,3.8577768227314166,2.671422781319324,5.294059555291211,0,4,3.8923497777821123
-3,0,Total phenotypic variance,500,6.592776574918005,6.564542031532691,5.844019679914472,7.37139822653561,0,6.61287181315765,6.592776574918005
-2.98,0,Additive genetic variance,500,0.41817822467405275,0.3920377766597117,0.15207229899768476,0.8243997522778871,0,0.3731459537791037,0.41817822467405275
-2.98,0,Common environmental variance,500,2.291841425244877,2.3111128337660665,1.0513303130396472,3.640884177386781,0,2.25,2.291841425244877
-2.98,0,Nonshared environmental variance,500,3.8925000956328604,3.8588409455338333,2.6813733951273253,5.278332711127005,0,4,3.8925000956328604
-2.98,0,Total phenotypic variance,500,6.60251974555179,6.573255185751763,5.85689070085331,7.3794731568623195,0,6.623145953779104,6.60251974555179
-2.96,0,Additive genetic variance,500,0.42916391356333533,0.40242309605299753,0.1578251740429821,0.8426671605079274,0,0.3836496015713771,0.42916391356333533
-2.96,0,Common environmental variance,500,2.290693836210012,2.307738891142637,1.057080911399564,3.6267989946899704,0,2.25,2.290693836210012
-2.96,0,Nonshared environmental variance,500,3.8926592609624286,3.860532840904126,2.691048802209136,5.262718072107804,0,4,3.8926592609624286
-2.96,0,Total phenotypic variance,500,6.612517010735776,6.5820756117417805,5.870602129866087,7.39171356106387,0,6.633649601571378,6.612517010735776
-2.94,0,Additive genetic variance,500,0.44037888794908686,0.4135321207344902,0.1637611056826881,0.8612238034333481,0,0.39438580870744855,0.44037888794908686
-2.94,0,Common environmental variance,500,2.289564868077679,2.3055435704272824,1.0628438810340581,3.6128196393734555,0,2.25,2.289564868077679
-2.94,0,Nonshared environmental variance,500,3.8928271677260207,3.861929438742206,2.6983730947402487,5.247368112453657,0,4,3.8928271677260207
-2.94,0,Total phenotypic variance,500,6.622770923752786,6.590559825654114,5.884550714993198,7.40615976890045,0,6.644385808707448,6.622770923752786
-2.92,0,Additive genetic variance,500,0.4518259680406073,0.42482204232043097,0.16988510539403584,0.8800710097519668,0,0.4053575998439434,0.4518259680406073
-2.92,0,Common environmental variance,500,2.288454334086296,2.305624725762417,1.0686190789354728,3.5990732978500857,0,2.25,2.288454334086296
-2.92,0,Nonshared environmental variance,500,3.8930037103781006,3.86346917886583,2.705698490770227,5.232107470344127,0,4,3.8930037103781006
-2.92,0,Total phenotypic variance,500,6.633284012505004,6.601254752648405,5.898739994448874,7.420799888724803,0,6.655357599843944,6.633284012505004
-2.9,0,Additive genetic variance,500,0.46350794440273735,0.43623586729791497,0.17620162223789348,0.899210018694897,0,0.41656796938864216,0.46350794440273735
-2.9,0,Common environmental variance,500,2.2873620486846127,2.3093611099999185,1.0744063606146326,3.586700259356178,0,2.25,2.2873620486846127
-2.9,0,Nonshared environmental variance,500,3.893188783870813,3.8649303467408043,2.713024880498288,5.216935602208215,0,4,3.893188783870813
-2.9,0,Total phenotypic variance,500,6.644058776958163,6.610704880229315,5.913173493916544,7.435634496650355,0,6.666567969388642,6.644058776958163
-2.88,0,Additive genetic variance,500,0.47542757536274377,0.44810743287391364,0.18271514934575364,0.9186419773864846,0,0.428019878716284,0.47542757536274377
-2.88,0,Common environmental variance,500,2.2862878275205714,2.310242071222413,1.0798536099793958,3.576546811953873,0,2.25,2.2862878275205714
-2.88,0,Nonshared environmental variance,500,3.8933822836524477,3.8636711948158484,2.72035215374396,5.199040952691097,0,4,3.8933822836524477
-2.88,0,Total phenotypic variance,500,6.655097686535762,6.626311738879569,5.933234415112904,7.443833357936752,0,6.6780198787162846,6.655097686535762
-2.86,0,Additive genetic variance,500,0.4875875843679754,0.4602176381952455,0.1894302217687057,0.93836793820918,0,0.4397162533339329,0.4875875843679754
-2.86,0,Common environmental variance,500,2.285231487430383,2.310931840187362,1.0861457280502052,3.566181899132026,0,2.25,2.285231487430383
-2.86,0,Nonshared environmental variance,500,3.893584105665942,3.8661883436249154,2.727556556358395,5.181213621729349,0,4,3.893584105665942
-2.86,0,Total phenotypic variance,500,6.6664031774643,6.63857145434843,5.95453077896085,7.450261392143204,0,6.689716253333932,6.6664031774643
-2.84,0,Additive genetic variance,500,0.49999065729538883,0.47199274996349694,0.19635141420258093,0.9583888561756149,0,0.4516599799972751,0.49999065729538883
-2.84,0,Common environmental variance,500,2.2841928464278163,2.3098598115396634,1.092619862919301,3.5526182664533965,0,2.25,2.2841928464278163
-2.84,0,Nonshared environmental variance,500,3.893794146347425,3.86722382991951,2.734685732770977,5.163520785871819,0,4,3.893794146347425
-2.84,0,Total phenotypic variance,500,6.6779776500706305,6.650106603783074,5.974442725416967,7.461344377566653,0,6.701659979997276,6.6779776500706305
-2.82,0,Additive genetic variance,500,0.5126394397141256,0.4850317916461355,0.2034833385875781,0.9787055863101934,0,0.4638539037793014,0.5126394397141256
-2.82,0,Common environmental variance,500,2.283171723693689,2.30916345994764,1.0991145892614769,3.539339370220088,0,2.25,2.283171723693689
