parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,100,100,1,1.099409447830643,1.1000390942409348,0.02571388468879714,0.002571388468879714,7.97159162533203e-4,7.2560553960272e-4,0.025597407873870336,1.0508574372074293,1.1529873727594628,1.083364715599168,1.1150317631152888,TRUE
b_a_1,0.1,100,100,1,0.09578284910862227,0.09372183346643556,0.025971403943430442,0.0025971403943430443,-0.004217150891377738,-0.042171508913777384,0.026183067929590565,0.051679419518970794,0.14737483009974484,0.07880388984409854,0.11381675490980961,TRUE
b_a_2,-0.1,100,100,1,-0.0985677436963325,-0.09774571878309904,0.009511062444484745,9.511062444484744e-4,0.0014322563036674944,-0.014322563036674943,0.009571157916054594,-0.11987133578428559,-0.08103922846512046,-0.10264068796480513,-0.09291379715540837,TRUE
g_a_1,0.2,100,100,1,0.196438108171195,0.20425149340090804,0.04988423576864925,0.004988423576864924,-0.0035618918288050213,-0.017809459144025104,0.04976182956684844,0.09632534002991959,0.2784174519437733,0.16932997301650116,0.2323094019304586,TRUE
b_cn_0,0.9162907318741551,100,100,1,0.9117215549814185,0.9136205966895641,0.021743741966187734,0.0021743741966187735,-0.004569176892736562,-0.004986601668873041,0.022111982928320787,0.8699278979324168,0.9512940143344722,0.8979262128010559,0.9267459344935408,TRUE
b_cn_1,0,100,100,1,0.002955949421417746,7.979063569051815e-4,0.01791476445314612,0.0017914764453146122,0.002955949421417746,Inf,0.018068398781839266,-0.029716865987555185,0.040185297490341,-0.0072182788713114725,0.012490877550128563,FALSE
b_cn_2,0,100,100,1,-5.28870661781639e-4,-9.965609283024719e-4,0.006156284273139124,6.156284273139123e-4,-5.28870661781639e-4,-Inf,0.006148214526842445,-0.012434995925552389,0.011772843376382548,-0.004646353248080003,0.0032620549759213428,FALSE
g_cn_1,0,100,100,1,-0.0011633288774324092,-0.0024560989600416103,0.03436649558244197,0.0034366495582441965,-0.0011633288774324092,-Inf,0.034214014562878925,-0.06630599812903244,0.05776683356328761,-0.026469760060722932,0.021985449500588658,FALSE
b_e_0,0.6931471805599453,100,100,1,0.6942913312047413,0.6956067691874566,0.019292820623671852,0.0019292820623671852,0.0011441506447959938,0.00165066046127709,0.019230181461416147,0.6535938343002914,0.730400663810775,0.6832827527697726,0.7070240940995958,TRUE
b_e_1,-0.1,100,100,1,-0.09992727488829946,-0.10001607798239902,0.005565590182245934,5.565590182245934e-4,7.272511170054938e-5,-7.272511170054938e-4,0.005538169831073896,-0.1099460345052169,-0.0896115113798529,-0.10408442036250472,-0.09626019022361204,TRUE
b_e_2,0.1,100,100,1,0.0998844791085062,0.09990095122529849,0.0017073773613812387,1.7073773613812386e-4,-1.1552089149379677e-4,-0.0011552089149379676,0.001702742245904268,0.09696376242935784,0.10337910192380811,0.09865621197699748,0.10106390549015598,TRUE
g_e_1,0,100,100,1,-3.659880170376304e-4,-0.0015947150450060935,0.0172698140935355,0.00172698140935355,-3.659880170376304e-4,-Inf,0.01718714523315724,-0.030781734367727617,0.04086990127375881,-0.011194508466628717,0.007645424724865963,FALSE
