time,historical_period,event_experienced,event_effect,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,population_variance,recovered_central,historical_period_label,event_experience_label
-3,0,0,0,Additive genetic variance,500,0.8514855524490368,0.8263600588680262,0.45258943340004487,1.3731792365404016,0.8164615796047126,0.8514855524490368,Before the historical event,Event not experienced
-3,0,0,0,Nuclear-family environmental variance,500,6.193847815864976,6.216536158614314,4.917048349082828,7.282303574805773,6.250000000000002,6.193847815864976,Before the historical event,Event not experienced
-3,0,0,0,Nonshared environmental variance,500,2.1677484503791735,2.1214180027012683,1.284250166485191,3.207263474659558,2.1952465443761056,2.1677484503791735,Before the historical event,Event not experienced
-3,0,0,0,Phenotypic variance,500,9.213081818693187,9.21712280120284,8.221822981419304,10.173416815817609,9.26170812398082,9.213081818693187,Before the historical event,Event not experienced
-3,0,1,0,Additive genetic variance,500,0.8514855524490368,0.8263600588680262,0.45258943340004487,1.3731792365404016,0.8164615796047126,0.8514855524490368,Before the historical event,Event experienced
-3,0,1,0,Nuclear-family environmental variance,500,6.193847815864976,6.216536158614314,4.917048349082828,7.282303574805773,6.250000000000002,6.193847815864976,Before the historical event,Event experienced
-3,0,1,0,Nonshared environmental variance,500,2.1677484503791735,2.1214180027012683,1.284250166485191,3.207263474659558,2.1952465443761056,2.1677484503791735,Before the historical event,Event experienced
-3,0,1,0,Phenotypic variance,500,9.213081818693187,9.21712280120284,8.221822981419304,10.173416815817609,9.26170812398082,9.213081818693187,Before the historical event,Event experienced
-3,1,0,0,Additive genetic variance,500,0.8514855524490368,0.8263600588680262,0.45258943340004487,1.3731792365404016,0.8164615796047126,0.8514855524490368,After the historical event,Event not experienced
-3,1,0,0,Nuclear-family environmental variance,500,6.193847815864976,6.216536158614314,4.917048349082828,7.282303574805773,6.250000000000002,6.193847815864976,After the historical event,Event not experienced
-3,1,0,0,Nonshared environmental variance,500,2.1677484503791735,2.1214180027012683,1.284250166485191,3.207263474659558,2.1952465443761056,2.1677484503791735,After the historical event,Event not experienced
-3,1,0,0,Phenotypic variance,500,9.213081818693187,9.21712280120284,8.221822981419304,10.173416815817609,9.26170812398082,9.213081818693187,After the historical event,Event not experienced
-3,1,1,1,Additive genetic variance,500,1.276541232179946,1.2387146431722953,0.6643226447154458,2.119711852388666,1.2180175491295142,1.276541232179946,After the historical event,Event experienced
-3,1,1,1,Nuclear-family environmental variance,500,6.208582513793622,6.205294246139493,4.904109651783257,7.541750566275767,6.250000000000002,6.208582513793622,After the historical event,Event experienced
-3,1,1,1,Nonshared environmental variance,500,2.1654771166147775,2.1243780833334363,1.2955016616448405,3.2286167309394895,2.1952465443761056,2.1654771166147775,After the historical event,Event experienced
-3,1,1,1,Phenotypic variance,500,9.650600862588345,9.657546279447438,8.452719033304811,10.850944812192925,9.66326409350562,9.650600862588345,After the historical event,Event experienced
