time,historical_period,event_experienced,event_effect,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,population_variance,recovered_central,historical_period_label,event_experience_label
-3,0,0,0,Additive genetic variance,500,0.8514855524490368,0.8263600588680262,0.45258943340004487,1.3731792365404016,0.8164615796047126,0.8514855524490368,Before the historical event,Event not experienced
-3,0,0,0,Nuclear-family environmental variance,500,6.193847815864976,6.216536158614314,4.917048349082828,7.282303574805773,6.250000000000002,6.193847815864976,Before the historical event,Event not experienced
-3,0,0,0,Nonshared environmental variance,500,2.1677484503791735,2.1214180027012683,1.284250166485191,3.207263474659558,2.1952465443761056,2.1677484503791735,Before the historical event,Event not experienced
-3,0,0,0,Phenotypic variance,500,9.213081818693187,9.21712280120284,8.221822981419304,10.173416815817609,9.26170812398082,9.213081818693187,Before the historical event,Event not experienced
-3,0,1,0,Additive genetic variance,500,0.8514855524490368,0.8263600588680262,0.45258943340004487,1.3731792365404016,0.8164615796047126,0.8514855524490368,Before the historical event,Event experienced
-3,0,1,0,Nuclear-family environmental variance,500,6.193847815864976,6.216536158614314,4.917048349082828,7.282303574805773,6.250000000000002,6.193847815864976,Before the historical event,Event experienced
-3,0,1,0,Nonshared environmental variance,500,2.1677484503791735,2.1214180027012683,1.284250166485191,3.207263474659558,2.1952465443761056,2.1677484503791735,Before the historical event,Event experienced
-3,0,1,0,Phenotypic variance,500,9.213081818693187,9.21712280120284,8.221822981419304,10.173416815817609,9.26170812398082,9.213081818693187,Before the historical event,Event experienced
-2.98,0,0,0,Additive genetic variance,500,0.8749222405221327,0.8503246987869926,0.4682658320276213,1.404243096163719,0.8395783960029833,0.8749222405221327,Before the historical event,Event not experienced
-2.98,0,0,0,Nuclear-family environmental variance,500,6.194348128222564,6.220197934006759,4.920559637538489,7.275342062330532,6.250000000000002,6.194348128222564,Before the historical event,Event not experienced
-2.98,0,0,0,Nonshared environmental variance,500,2.1761144585127132,2.1303973852584117,1.2953375928629938,3.210261926944015,2.204045115965363,2.1761144585127132,Before the historical event,Event not experienced
-2.98,0,0,0,Phenotypic variance,500,9.245384827257409,9.242266706762326,8.25456819023542,10.204166306764545,9.293623511968349,9.245384827257409,Before the historical event,Event not experienced
-2.98,0,1,0,Additive genetic variance,500,0.8749222405221327,0.8503246987869926,0.4682658320276213,1.404243096163719,0.8395783960029833,0.8749222405221327,Before the historical event,Event experienced
-2.98,0,1,0,Nuclear-family environmental variance,500,6.194348128222564,6.220197934006759,4.920559637538489,7.275342062330532,6.250000000000002,6.194348128222564,Before the historical event,Event experienced
-2.98,0,1,0,Nonshared environmental variance,500,2.1761144585127132,2.1303973852584117,1.2953375928629938,3.210261926944015,2.204045115965363,2.1761144585127132,Before the historical event,Event experienced
-2.98,0,1,0,Phenotypic variance,500,9.245384827257409,9.242266706762326,8.25456819023542,10.204166306764545,9.293623511968349,9.245384827257409,Before the historical event,Event experienced
