parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mean_estimated_se,se_bias,se_relative_bias,se_rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,1.0986122886681098,5,0,0,,,,,,,,,,,,,,,,
b_a_1,0.1,5,0,0,,,,,,,,,,,,,,,,
b_a_2,0.1,5,0,0,,,,,,,,,,,,,,,,
b_a_3,0,5,0,0,,,,,,,,,,,,,,,,
g_a_1,0.2,5,0,0,,,,,,,,,,,,,,,,
b_cn_0,0.9162907318741551,5,0,0,,,,,,,,,,,,,,,,
b_cn_1,0,5,0,0,,,,,,,,,,,,,,,,
b_cn_2,0.2,5,0,0,,,,,,,,,,,,,,,,
b_cn_3,0,5,0,0,,,,,,,,,,,,,,,,
g_cn_1,0,5,0,0,,,,,,,,,,,,,,,,
b_e_0,0.6931471805599453,5,0,0,,,,,,,,,,,,,,,,
b_e_1,-0.1,5,0,0,,,,,,,,,,,,,,,,
b_e_2,0.1,5,0,0,,,,,,,,,,,,,,,,
b_e_3,0,5,0,0,,,,,,,,,,,,,,,,
g_e_1,0,5,0,0,,,,,,,,,,,,,,,,
mean_y,10,5,0,0,,,,,,,,,,,,,,,,
b_mean_1,0,5,0,0,,,,,,,,,,,,,,,,
b_mean_2,0,5,0,0,,,,,,,,,,,,,,,,
b_mean_3,0,5,0,0,,,,,,,,,,,,,,,,
g_mean_1,0,5,0,0,,,,,,,,,,,,,,,,
