replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,mean_y,b_mean_1,b_mean_2,b_mean_3,g_mean_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1,se_mean_y,se_b_mean_1,se_b_mean_2,se_b_mean_3,se_g_mean_1
1,202607201,FALSE,,,"unused arguments (mean_degree = 3, start_mean = y_mean_param)",250,30500,122,122,122,,,26.580000000000002,0.2815081967213115,2.066878910464796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,202607202,FALSE,,,"unused arguments (mean_degree = 3, start_mean = y_mean_param)",250,30500,122,122,122,,,26.479999999999997,0.28101639344262297,2.067220316456117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,202607203,FALSE,,,"unused arguments (mean_degree = 3, start_mean = y_mean_param)",250,30500,122,122,122,,,26.580000000000002,0.2824918032786885,2.066998344913539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,202607204,FALSE,,,"unused arguments (mean_degree = 3, start_mean = y_mean_param)",250,30500,122,122,122,,,26.740000000000002,0.2805573770491803,2.0674762726134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,202607205,FALSE,,,"unused arguments (mean_degree = 3, start_mean = y_mean_param)",250,30500,122,122,122,,,26.700000000000003,0.28301639344262297,2.066800643399544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
