replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,mean_y,b_mean_1,b_mean_2,b_mean_3,g_mean_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1,se_mean_y,se_b_mean_1,se_b_mean_2,se_b_mean_3,se_g_mean_1
1,2026072012,TRUE,0,0,,250,30500,122,122,122,165228.80087950383,53,1118.3948369026184,0.28760655737704915,2.0667592609377454,1.0683994735878435,-6.909873684209219e-4,0.0073855119540989405,-7.437512664480603e-4,0.03328425589809189,0.9286847347493348,0.0034260003019736403,-0.0022027803395990382,-4.69988288584132e-4,-0.029383901795533997,0.7194299308888503,0.018431510440782613,-0.01155432781021371,4.803782844876493e-4,-0.0438154531170679,1.9569874425772282,0.009069358541652946,-8.56343173657917e-4,-1.1566406253431672e-4,0.043648579069053825,0.028947629053808373,0.015166606383870579,0.00490435129690544,0.0011864557936477587,0.02854924534412451,0.029579595530692077,0.015517727386684454,0.01005531678151664,0.002101995330039358,0.02738405210240944,0.038076294554795956,0.024977769411375597,0.015948679751647078,0.0033587919753356598,0.048084826936141134,0.06183760311439209,0.02676115198130886,0.008613554358545834,0.002178992900830797,0.04654438209553148
2,2026072013,TRUE,0,0,,250,30500,122,122,122,164757.82286663316,42,998.6638700962067,0.2801967213114754,2.066757030579629,1.1259205047802725,-0.007945603044617607,-0.001618031709438157,0.0014652387935038037,-0.024359358809252107,0.8904844825905608,-0.0024892353590817455,0.009049377854923744,-0.002301843888600777,0.006259241467659165,0.7055811254690649,0.0018383212839758708,-0.02184288876663373,0.003547486719428389,0.024724604412199404,1.9418723001503737,-0.016951262660335645,1.0171836929881422e-4,0.0012670998573677311,0.03715406008852472,0.02709958424805641,0.015510540116337635,0.005237819865336599,0.0013538205861776133,0.02816955901442431,0.02451481429724377,0.014325082299764943,0.0039005741083063127,0.0010765448278786639,0.026095716608751388,0.04051436829471388,0.026420215179051826,0.01247836182916115,0.0029537699873870412,0.04820176135320704,0.06308648639827229,0.026947150410334582,0.008959152252305085,0.0022638971288332518,0.04596320876368183
3,2026072014,TRUE,0,0,,250,30500,122,122,122,165437.37348625876,45,1028.3836669921875,0.285672131147541,2.066889077819845,1.1238170974016712,0.002607634394828805,-0.006865984124573001,0.0012482404254644652,-0.05044502245404198,0.8973203391288931,0.010414372604530443,-0.0031688556144234444,6.611079817425387e-4,0.04127289443702193,0.6911793753258993,-0.0015207365596922797,0.0041868336880629825,-0.0010355039691239576,0.04149706965248619,1.9049491485785062,0.02523374669125412,0.009607645374059216,-0.0024127489639464935,-0.09466098853532617,0.027795011692052916,0.015241823172865262,0.005345805587720509,0.0012507096526619343,0.030580932291264084,0.027044591440981855,0.015459999616050407,0.007503079675173646,0.00150966048264222,0.024947595038567118,0.03777768386423858,0.02154046641477117,0.007762494695310776,0.001753887309048667,0.04077611386408062,0.06298783565615483,0.026681044571151582,0.008550520531643919,0.002186588764189495,0.046711192697545784
4,2026072015,TRUE,0,0,,250,30500,122,122,122,165184.9140745578,40,970.9024791717529,0.28095081967213115,2.0673186443379867,1.1038591716576376,0.0066729267187179125,-0.004869039335850894,7.499600240369002e-4,-0.037282350167796394,0.9061982927916903,-0.0018736919138220634,-0.0016573203574737085,-5.518144179778438e-5,0.012165470912240161,0.7238969733267755,-0.036237635679911534,0.004846777476191423,9.489853190829103e-4,0.030830635491022003,2.089091479318238,-0.058043735962043534,-0.004123436529115712,0.002226972540937325,-0.0452027593464629,0.02871990029231673,0.016311674376026042,0.0057408768690502,0.0013441929476506321,0.030087226341772556,0.026180860724687224,0.015529604966688107,0.006907933168363396,0.0014916401925079538,0.027108993531924187,0.03639208457696507,0.02076248732476707,0.008014611694550745,0.0017982365744143387,0.04052817485144806,0.06286759763913984,0.02726712964514412,0.008821572971013795,0.0022443189598274956,0.046543084811873595
5,2026072016,TRUE,0,0,,250,30500,122,122,122,165151.79588490722,48,1062.9746379852295,0.2797049180327869,2.0667639689181367,1.1197141596451885,6.050969332032235e-4,0.002701917067613179,-5.346093300318229e-4,-0.007549522708732316,0.9042908587336446,0.004356855255132556,-0.009412355650270193,0.0021824062233506483,0.013129004038695156,0.6841311949608073,-0.020566290538250463,0.007828321636720023,-0.001209218293507448,-0.02264682566736041,2.0620630280313983,-0.04860296700769456,0.005162013428261466,1.3821915283550554e-4,0.041233620447284444,0.028414456419963124,0.0158500986320973,0.0048746758582000945,0.0012609684194002026,0.02898585959128792,0.02745063570485312,0.01670097221348675,0.008379202114843328,0.0017096634783269526,0.026372155499850555,0.03956876775219871,0.023951005257157567,0.0068137365303959935,0.0017941244169021146,0.048464535024104166,0.0627245842255071,0.026794059786255205,0.008782529344638869,0.0022175542670050397,0.04635969840393023
6,2026072017,TRUE,0,0,,250,30500,122,122,122,164883.0832227394,41,638.2053141593933,0.28262295081967215,2.0668994411333492,1.0792067634124447,0.0026030389066060275,-0.0035241494740927584,6.194158716997379e-4,0.01816787787480926,0.9324944416052281,0.0010245720329896222,-0.008357227172230024,0.0018551641303272911,-0.030888038028098714,0.6885073126432611,-0.015404675398109705,0.014169752927545352,-0.002184224889850446,-0.01028914774500719,1.9847958490268836,-0.07603769929222323,-0.006196118357171329,0.004312526674954418,-0.015382614549094948,0.029528797292092443,0.0158575352561733,0.006223653116666908,0.0014457249753003349,0.030400340528580455,0.02665469337527234,0.01610528016039499,0.009684096975644253,0.0019027826816367087,0.027052391167938918,0.035798601490012294,0.020253709253435687,0.006706511000910792,0.0016555279532188842,0.04207841007075748,0.06230655032007568,0.02683043312786859,0.009305918766143013,0.002308034822252478,0.04648418847931619
7,2026072018,TRUE,0,0,,250,30500,122,122,122,165114.76947238916,41,984.4037530422211,0.28285245901639344,2.0668783292630604,1.072342220340067,0.012002591965156033,0.011716178539053414,-0.002647990157766788,-0.005179009596899636,0.9544246798763527,-0.02837732974903627,-0.0058100660562842,0.0017919992966929157,0.01175625555203866,0.7206528856619162,0.0092040160731512,-0.0239384981417959,0.004042420903320569,-0.006730478083230597,2.0410335654136267,-0.04517465964537782,-0.005663780360482317,0.002212288371096427,0.10265697781273209,0.027108719131546045,0.014502248735873371,0.0038965985436943736,0.001068104252508159,0.02955335797266908,0.024824758014992256,0.014212380196273562,0.005747120413341387,0.0013320784874080549,0.028632423871662233,0.03656275190079498,0.02431198435234674,0.011544834636762,0.002305930611912658,0.04933590666593695,0.06221245930768016,0.026624108839704588,0.009431307065755807,0.002301327664007218,0.04642310299748363
8,2026072019,TRUE,0,0,,250,30500,122,122,122,164724.03980423821,42,995.9987168312073,0.2805901639344262,2.0667378562952914,1.0371127893968712,0.017764834035537875,0.004475678648090295,-0.001514793572655967,0.031152540775999375,0.9562366482105125,-0.01603218468998432,-0.008134634300283487,0.002763471339479415,-0.010602316438536903,0.7245316209115634,-0.007452935592072483,-0.0015727063867917313,-2.1464039113065032e-4,-0.026075678773076247,1.9294956737248412,0.005117445300719273,0.011794217689230817,-0.0016127712485411343,0.016510239555773704,0.027808516040689183,0.017079942307519927,0.004182087632675884,0.0012070301247847838,0.0311746182094466,0.02448061060908623,0.01530841061408752,0.0068863632780231665,0.0014404782130267256,0.026590892931830108,0.03213108770884769,0.022799013067676434,0.007480406969628305,0.001871673849793035,0.04803309300197015,0.061225799448293254,0.026426831519750983,0.008613089086458327,0.0021507089131982504,0.046131062375885025
9,2026072020,TRUE,0,0,,250,30500,122,122,122,165084.2884920949,49,1080.0342710018158,0.285672131147541,2.066747244365994,1.0586542005587163,0.02006528951964965,0.007339824719072651,-0.0012792948424060582,-0.023240881260766663,0.9169964266938871,0.02049412035421011,-4.468931083327183e-4,-0.0017731890426970504,-0.0672033995089405,0.7289383492392867,-0.039014140263622224,-0.0013826737925513133,5.172517725929495e-4,0.04750950792260141,2.0437242878411435,0.0015200211212767353,-0.02074417049905053,0.0034551050876774634,-0.03808315141682512,0.02971426608721078,0.014682856399682651,0.005101758830679585,0.0011435556534517743,0.027284284052910137,0.026897792135755872,0.016670391320586692,0.007731457234760003,0.0015938672372599473,0.027585911238889257,0.036508259969828726,0.020769828834671458,0.010412302006688079,0.0021685349305624966,0.0468311884763961,0.06171993448147016,0.027126770304200375,0.009396563309536986,0.0023107219699730302,0.046512211360818144
10,2026072021,TRUE,0,0,,250,30500,122,122,122,165784.63200583172,40,976.1597349643707,0.2826885245901639,2.0670365090898484,1.0479198402554097,0.037510263291196506,-0.0024838793155327983,-8.466652795163031e-4,0.004621813383546479,0.8796887193279253,0.011147707237363946,0.002851185608768871,-6.428647996343177e-4,0.037053665879053975,0.7703234418384529,-0.052816452856030614,0.005704035184049789,0.001450654722847183,-0.020714455368166684,2.030912943491424,0.05458388287439979,-0.010075675673264424,2.597906613171025e-4,-0.08649016674026834,0.02913572550898755,0.017132076090376862,0.005077622876382143,0.0012477694751706165,0.03134651721479992,0.026641485924004796,0.016238449723432937,0.006412552941975785,0.0013566954884957191,0.026606359749509836,0.03072296236083816,0.018994708973709605,0.006707865398502969,0.0015619982635564226,0.04530754511127487,0.06108859296633708,0.027430423130235915,0.008509715658524543,0.0021969055186967534,0.04717248872695546
