dyad,member_i,member_j,t_i,t_j,H_i,H_j,lambda_i,lambda_j,A_ij,T_ij,V_ij
Cross-period relatives,1692,1817,-3.559792985626624,4.822179436072656,0,1,0.39453606314645817,0.3867501788053845,0.125,0.15258689296706515,0.019073361620883144
Same-period relatives,1745,1745,0.008558132675079832,0.03024197927731317,0,0,2.00169769834546,2.0058740897727025,0.125,4.015153548668813,0.5018941935836017
