parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mc_lower,mc_upper,mc_q25,mc_q75,empirical_interval_excludes_zero
b_a_0,0.6931471805599453,5,5,1,0.6462254977016993,0.6447094051859462,0.04659181107907963,0.020836491353529975,-0.04692168285824598,-0.06769367916975616,0.06275573129167353,0.5941928215782334,0.710666989224587,0.6223785640544583,0.6562670161798853,TRUE
b_a_1,0.1,5,5,1,0.1395516590641037,0.130765131381275,0.020759521620815187,0.009283940304903874,0.039551659064103684,0.39551659064103684,0.04369324804890533,0.1181232010641854,0.1669375758889417,0.1286161906001192,0.1529251476401208,TRUE
b_a_2,-0.1,5,5,1,-0.10106750220863285,-0.10036604276235235,0.01298169539192827,0.005805590671909477,-0.0010675022086328394,0.010675022086328393,0.01166014979168301,-0.11466767315390276,-0.08530719602064135,-0.11285822564703145,-0.09276608970070177,TRUE
g_a_1,0.2,5,5,1,0.1495525056471717,0.09588985900630169,0.0996962695457769,0.04458552716149984,-0.0504474943528283,-0.25223747176414146,0.10245206984514274,0.06263597849448084,0.2865109587151113,0.08634905361901338,0.210574027752248,TRUE
b_cn_0,0.4054651081081644,5,5,1,0.3897443278061234,0.41074785800830865,0.06898164245928161,0.030849528347707888,-0.015720780302041014,-0.038772214890182954,0.06367037404012302,0.2956066009819511,0.453933367994397,0.3511136484186979,0.4421818940109638,TRUE
b_cn_1,0,5,5,1,0.005819735006924444,0.0012647045872668918,0.026193991736034202,0.01171430922476804,0.005819735006924444,Inf,0.024140618840550965,-0.025028755392363912,0.03928616620583289,-0.007019470657622285,0.020510923894060815,FALSE
b_cn_2,0,5,5,1,-4.2082542161982667e-4,0.0013581328474847596,0.0039860908202358014,0.0017826340077070292,-4.2082542161982667e-4,-Inf,0.003590018113772687,-0.005938135804509601,0.0029009579946319723,-0.0027308259527034817,0.0026322557650186383,FALSE
g_cn_1,0,5,5,1,0.030255794834860534,0.04639679707993902,0.028016684008572997,0.012529441989460103,0.030255794834860534,Inf,0.039285630800054074,-1.7891200648483013e-4,0.05625976895176678,1.5859369387695797e-6,0.0478897921126179,FALSE
b_e_0,0.6931471805599453,5,5,1,0.7077996502535451,0.6978561802594045,0.0283924585819589,0.012697493487521477,0.01465246969359979,0.021139045363732248,0.029318939810035107,0.6815433086375746,0.7503863393311356,0.6968236697772449,0.7095491001462282,TRUE
b_e_1,0,5,5,1,0.0023752894823151406,0.002734136749971608,0.005865020727690249,0.0026229170073121355,0.0023752894823151406,Inf,0.005758539279520973,-0.003594100565534878,0.01013217679111473,-0.002635721736547171,0.004748225948876965,FALSE
b_e_2,0,5,5,1,-0.002996833825034601,-0.0025374263416184715,0.0015221150443357758,6.807105417419801e-4,-0.002996833825034601,-Inf,0.003291577181447544,-0.005075561756032463,-0.0015835775671072826,-0.003844710262870032,-0.0018339512147041357,TRUE
g_e_1,0,5,5,1,-0.007619277614645397,-6.288707535859715e-4,0.03359557544185619,0.015024398086242596,-0.007619277614645397,-Inf,0.030999734559905467,-0.05688093529122449,0.02653520997090425,-0.007348327970908491,0.0031295276367126618,FALSE
