parameter,true_value,n_requested,n_success,success_rate,mean_estimate,median_estimate,empirical_sd,mcse_mean,bias,relative_bias,rmse,mc_lower,mc_upper,empirical_interval_excludes_zero
b_a_0,1.6094379124341003,3,3,1,1.5744899086890418,1.5064368953874814,0.1904876512746426,0.10997809674071447,-0.034948003745058465,-0.02171441561992497,0.15941055953475766,1.4313282954451985,1.7754965832392116,TRUE
b_a_1,0.1,3,3,1,0.08869865728497386,0.07139751796950167,0.03998851212624098,0.023087378240577845,-0.011301342715026143,-0.11301342715026143,0.03455104072541794,0.06083002749974072,0.1312732554883584,TRUE
g_a_1,0.1,3,3,1,0.1347827083543146,0.20015523876459657,0.14959814421602194,0.08637052883338872,0.0347827083543146,0.347827083543146,0.1270022570759267,-0.024548791252405534,0.2385475571122951,FALSE
b_e_0,1.6094379124341003,3,3,1,1.6337588382712194,1.6660316883117408,0.17186325386446732,0.09922529588245521,0.02432092583711909,0.015111440863435563,0.14241778723002338,1.458946221495884,1.7811395325121115,TRUE
b_e_1,-0.04,3,3,1,-0.0248781256748047,-0.022518440255893942,0.06283211000879003,0.03627613562732711,0.0151218743251953,-0.3780468581298825,0.05348445676279664,-0.08553991763388945,0.033777933678205925,FALSE
g_e_1,-0.1,3,3,1,-0.1425701565119435,-0.09111877360707954,0.1690986846848832,0.09762917112242897,-0.04257015651194348,0.42570156511943474,0.14448227688390158,-0.3194033155325773,-0.009470672960444017,TRUE
