replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,g_a_1,b_cn_0,b_cn_1,g_cn_1,b_e_0,b_e_1,g_e_1,mean_y,b_mean_1,g_mean_1,se_b_a_0,se_b_a_1,se_g_a_1,se_b_cn_0,se_b_cn_1,se_g_cn_1,se_b_e_0,se_b_e_1,se_g_e_1,se_mean_y,se_b_mean_1,se_g_mean_1
1,2026072012,TRUE,0,0,,50,6100,122,122,122,33306.78151698685,27,58.21446108818054,0.28950819672131145,2.0675292856669634,1.1882310308328166,-0.01623230960457671,0.006816313314663079,0.8925957723872023,0.02664629877554485,-0.02603325430087502,0.6623817461695426,-0.0020967277941360283,0.03233826259359637,2.0066905169329643,-0.04608572784005723,0.14460664718065316,0.04461283833268142,0.01894229400930235,0.06234794729016039,0.049445419212394474,0.01963200305436708,0.05467714428613801,0.07626834044231047,0.032032217286946295,0.10183948698326162,0.1333944679344377,0.036745151969664804,0.10439294105503363
2,2026072013,TRUE,0,0,,50,6100,122,122,122,32928.24268107596,27,58.22224688529968,0.2801639344262295,2.067006873795147,1.0695068201588593,-0.0023200738197728145,0.0830061712760185,0.9555479680788239,-0.02234267198669674,-0.0330525678282906,0.6926623854889365,8.750996646765397e-4,-0.05929172765024229,2.118370817792369,-0.04969918761005223,0.07648558190431574,0.051517891877239166,0.020148789197260552,0.06425028398505046,0.04127765962311716,0.01798896410347658,0.06100478701709675,0.06674977863048547,0.026789243695352218,0.1052321028590604,0.12669648336086112,0.03573580356645058,0.10186109292000965
3,2026072014,TRUE,0,0,,50,6100,122,122,122,33032.32542237623,23,54.07483196258545,0.28672131147540986,2.066889077819845,1.0871493704095712,0.011250136894322603,-0.05872665364103493,0.816136829351672,0.015445545946365935,0.10433999649809596,0.7450650394970392,-0.02454117813025612,0.0760222718103231,1.9523186295612893,0.008746986483426918,-0.0656648457002151,0.04630821548365361,0.016305768930589756,0.06839249651619905,0.04838190224621119,0.019560117482814283,0.057700289151024646,0.055885934804141016,0.022850212152721504,0.09088317701334855,0.12458701164232563,0.03531941299109021,0.1041974848101562
4,2026072015,TRUE,0,0,,50,6100,122,122,122,33056.85091383445,25,56.0321319103241,0.27852459016393444,2.0673186443379867,1.1748517376758942,-0.07060403285315098,-0.13296352197085912,0.921531167795213,0.010443907907661403,0.04977442384889604,0.5671554203728609,0.07845867140082535,0.07171325254679711,2.0563193375006015,-0.0940495444482257,0.21491405476427003,0.0456551442366444,0.019082231065165337,0.0816236710450385,0.042586915087251334,0.01841357659529616,0.05076012913671245,0.0883617573313299,0.027369534404867557,0.059226933873625744,0.13305238050255344,0.037230567173566896,0.10395648618973007
5,2026072016,TRUE,0,0,,50,6100,122,122,122,33150.69513943348,33,63.697696924209595,0.28032786885245903,2.067945761086973,1.1360296441758189,0.030681606802537596,-0.07355910737601379,0.881404457663407,0.02248355390857012,0.006910015250859311,0.6850735110683539,-0.04967561804824375,0.033832453560519705,1.9589588837358465,-0.04505072998105205,-0.03272103508612611,0.04950719604470561,0.018906304351136154,0.05767057877205456,0.049703428107737445,0.02095429784585706,0.05740005747430098,0.07243666123274484,0.03527042615485765,0.12489514855033834,0.12830917048027465,0.03651299472066938,0.1039025756204329
