replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,mean_y,b_mean_1,b_mean_2,b_mean_3,g_mean_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1,se_mean_y,se_b_mean_1,se_b_mean_2,se_b_mean_3,se_g_mean_1
1,2026072012,TRUE,0,0,,50,6100,122,122,122,31648.594108614016,48,187.38849401474,0.28950819672131145,2.0675292856669634,1.1736844338971653,0.05204713307949423,-0.06974251795645638,-0.006661458528627835,-0.03264619382892744,0.8927602610717535,0.032307085905883486,-5.594887114185929e-4,-4.606352811999928e-4,-0.00891632275796123,0.6334579800415926,0.036346221733411656,0.0068653875722164805,-0.0034898705651613205,0.02908435527315857,2.0651255483230844,0.4187118640369353,-0.013531795576709773,0.0053242603153150145,0.13893766168665136,0.05639205072252229,0.03465364441156212,0.015311671533361212,0.005068674870403988,0.08443762414164518,0.055824928425803715,0.03345356095635496,0.01648990436857786,0.0028995499147250192,0.03729627182865116,0.08208145247234866,0.04331211300312992,0.018395373525059825,0.0032562903617544487,0.046793473695869954,0.1438845862708013,0.05402641389946172,0.018113353783416816,0.004225077453838901,0.08502579746123803
2,2026072013,TRUE,0,0,,50,6100,122,122,122,31265.696808634064,35,162.61845898628235,0.2801639344262295,2.067006873795147,1.1104647934222855,0.0398222158342387,-0.10547262278774557,0.00454049741656986,0.042422058218000165,0.9554557108739953,-0.018813735588297197,0.0014136098942094844,-5.847308486809907e-4,0.005101150743079769,0.7364237791679508,0.046826031510278185,-0.04429295972089772,0.007225534617706884,0.030800544429213813,2.1504819427096837,0.3981120743798408,9.120604647205657e-4,0.0031614932395055877,0.05764738218594972,0.07032843664894557,0.04886992133320094,0.024098689499403168,0.006200778979225167,0.09164503146508624,0.04679773918155933,0.023805190677845502,0.0056505910558107934,0.0017610730825975392,0.04002662057200977,0.07944761676972842,0.043751687373128255,0.021843184690573867,0.003682865935280581,0.045037688624341814,0.13905781441097875,0.05352617583611231,0.017311839947392244,0.004205724936862667,0.08221771624300593
3,2026072014,TRUE,0,0,,50,6100,122,122,122,31366.44024320996,43,179.09325289726257,0.28672131147540986,2.066889077819845,1.1103401887754831,0.13425210612274768,-0.12124841743486588,0.004302706961428368,0.0052350359583086216,0.8189007637961606,0.04135730121969626,-0.006524631304278682,-2.2644660795205417e-4,0.06388310795369792,0.7418931211306563,-0.013346471137314124,-0.004771005430849963,7.222628118115931e-4,0.011796280029406652,1.8757563811521685,0.5215467723231365,0.022592057360845217,-0.0047575628592725775,-0.06084608613898007,0.06333496716251057,0.04568315453220232,0.024004659460005122,0.0057712730248053335,0.08570922773876201,0.060014008067424324,0.03237689374388283,0.013910239016971505,0.002676122035615569,0.04007087509373808,0.06713131595943027,0.029511930901083058,0.012861936010876733,0.0026694008061801315,0.05098515520704104,0.13365235758656613,0.05153664190087594,0.015876527693035537,0.00394040857276959,0.08398060028359808
4,2026072015,TRUE,0,0,,50,6100,122,122,122,31405.734050260304,44,181.01062107086182,0.27852459016393444,2.0673186443379867,1.1712705174726907,0.04942368082744199,-0.10709799808608322,-6.308663486978898e-4,-0.19961660856369692,0.9125600568421051,-0.007027451032053329,0.004058004313423099,-3.814359982129256e-4,0.022634693952555178,0.657213622654936,-0.002890416857581768,0.010876532027182612,-0.0012163779002560995,0.04296617954183548,2.0803370299351047,0.4199377001264615,-0.008066509517268783,0.0018887409905261631,0.18015164181730242,0.06012693362852989,0.04354160643123414,0.0279055576451322,0.008145196671811801,0.11450683010558288,0.051526209113232455,0.026963532600059584,0.009461066157515338,0.002168359887279449,0.0382237375183671,0.07873051170874239,0.034008717631926665,0.01124753083800167,0.002415311684601338,0.04043744486559436,0.14293606631069858,0.05607395398074147,0.01987053998696744,0.004600708364592329,0.08418460452473751
5,2026072016,TRUE,0,0,,50,6100,122,122,122,31474.419252607986,44,180.66483211517334,0.28032786885245903,2.067945761086973,1.1293475432641245,0.044206526665004735,-0.07445610267790578,0.0033270467923683313,-0.11079943678543433,0.8799897337122186,0.008050787712768846,0.0055164166947154186,-1.4195178939984163e-4,-0.01220528240743295,0.7182801420410565,-0.003413544783528469,-0.015079535091770324,0.002755894517629668,-0.004893024484738983,2.009378645545559,0.48500604681928294,-0.009862394469684198,4.370359166696748e-4,-0.014672293943823259,0.07120690883736999,0.04283084192615119,0.017835848859514506,0.004132567326861562,0.08625616193496588,0.05294897500396932,0.027233850005540513,0.005745392954476055,0.0016953783119718307,0.03926091964686059,0.0939588087290557,0.03956754540938864,0.02079581843407611,0.004440154831506673,0.05828305361338227,0.13719927861455594,0.053934189804821536,0.01579169806078348,0.0038769023640752155,0.08433901613302983
6,2026072017,TRUE,0,0,,50,6100,122,122,122,31199.823317236245,46,134.95527601242065,0.2804918032786885,2.0700545837894424,1.011877773848114,0.1347872910515594,-0.10533541564838572,-7.214919210243296e-5,0.07738962061803115,0.9535914079069272,0.0076532783538876764,-0.03176496919454645,0.006379227013767995,-0.017257057307038904,0.6916718317485786,-0.023477981381053135,0.014886464145392037,-0.002194693054860243,-0.009491014819868157,2.051308458865914,0.4543191409156315,-0.009244248760819035,0.003896584712571276,0.05560044141168166,0.07278356538488463,0.05346344872893867,0.03179953432463966,0.008251838341107319,0.08605281486111471,0.0545235204604797,0.030907087834540818,0.017825208901462532,0.003261173517621543,0.042306397795607464,0.061811649191677955,0.026951758703312872,0.006461169245077074,0.0018565400911117226,0.04777666340464526,0.13184365974592063,0.05225859926308649,0.017368045427477947,0.004170992046042954,0.08392889637468999
7,2026072018,TRUE,0,0,,50,6100,122,122,122,31244.730779659603,41,175.1523928642273,0.28114754098360656,2.0668783292630604,1.1438790774792083,0.0669558352557518,-0.062162805172566483,-0.008651469886516083,-0.09966292905067509,0.9409814578686984,0.010039254763313516,-0.021997118984940375,0.0036333902468837897,0.011426443794116607,0.5838220646800512,0.025931385742415457,7.509122916180348e-4,-4.2230996180029414e-4,0.029077398979786746,2.113038805012378,0.4273370896830989,0.008926843598781944,4.628740210306003e-4,0.11965959617599393,0.05993512623174595,0.03502614276948486,0.014232641951332137,0.003713298951074239,0.0787001430468128,0.05417645117672273,0.029559949677135388,0.014925143666659861,0.002869888036907345,0.041046889416119385,0.09358185354436173,0.040288022216679965,0.014999309501951013,0.003002477436730666,0.046659784039362176,0.1399278499230284,0.05092495886738277,0.01645526012845016,0.004005095471299369,0.0830345575640589
8,2026072019,TRUE,0,0,,50,6100,122,122,122,31223.07207061058,50,192.83587002754211,0.2840983606557377,2.0681637403699824,0.9324345077325352,0.13853224941332903,-0.10292470093177372,-0.005038683106734833,0.14412383115305924,0.958941853654498,-0.014031681062221057,0.00295327357123607,-2.4409285259526596e-4,-0.0013581985914239419,0.7892136580667742,0.04142875253062464,-0.03943572731945894,0.006317172416673369,-0.045337719601776884,1.8403846691477628,0.540770265295245,0.015256344935583196,-0.003477088341537874,-0.113658951193789,0.0904114117172185,0.0604231116875761,0.04108999728645923,0.010790761289078703,0.10016641879109905,0.04731895882540439,0.022529276267788025,0.005623494556677512,0.0016212743064416564,0.0383162596494699,0.0684653134710125,0.03494600754246201,0.02357353477002099,0.004077170065814571,0.04513821378096871,0.13115907073316435,0.053401856226802644,0.01724362122316221,0.0041912352035958144,0.08319939201623976
9,2026072020,TRUE,0,0,,50,6100,122,122,122,31345.768772785297,50,192.89615511894226,0.28737704918032786,2.0673627329421986,1.0539919583909783,0.1060077209259776,-0.08509822101980452,-0.011102600150248124,-0.18656439467603297,0.9435191453829471,0.03939927415719222,-0.0025967296533993527,-0.001886351516863046,-0.0019015961134350241,0.6522428015403225,0.042802098721769204,0.00614118517884094,-0.003713225750681756,0.0509558666429341,2.1051007609008643,0.4417564543161076,-0.0065989783605336656,0.003969130729175272,-0.11093105398638158,0.07010369797585264,0.0443865173221322,0.02116046370992857,0.008050330672963962,0.12060018969695943,0.05514544457196427,0.024398120259252403,0.01497496220193931,0.0030215661192690233,0.035073868526218896,0.07664880569953621,0.03299395175043629,0.014847139881408167,0.002912176942129705,0.0389180252347105,0.13462856062425063,0.052743041313967225,0.017637287701502462,0.004103058473250433,0.0832671136695558
10,2026072021,TRUE,0,0,,50,6100,122,122,122,31582.37868740839,45,184.2092320919037,0.2834426229508197,2.0685322845740757,1.0928654561183335,0.07993891462634559,-0.09214361582765179,-0.00405942245127939,0.0020378657443633126,0.8460516385793632,0.015378904612220448,0.008164246452710874,-0.0012581428174513979,0.0769326007374407,0.7157277111202383,0.0019843542756781602,0.00511705475854077,-7.073126466635643e-4,-0.0017127315113737473,2.1207510771818656,0.4686130230056534,-0.0033322227371756783,6.360722047401591e-4,-0.06403117750150636,0.06642470029463564,0.043950721250185336,0.02115333969059185,0.006720031013684078,0.09411022680075655,0.05547270253287905,0.029316826950926373,0.009199800195810997,0.002022297102991252,0.03845954039814098,0.06781744925220888,0.03154550250445281,0.012193166853718788,0.0024483525170810373,0.04331564941169851,0.1372493150995799,0.05436796875152028,0.01837070093435418,0.0043039558587750024,0.0874264376299434
