parameter,true_value
b_a_0,1.0986122886681098
b_a_1,0
b_a_2,0
g_a_1,0
b_cn_0,0.9162907318741551
b_cn_1,0
b_cn_2,0
g_cn_1,0
b_e_0,0.6931471805599453
b_e_1,0
b_e_2,0
g_e_1,0
