replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,g_a_1,b_cn_0,b_cn_1,g_cn_1,b_e_0,b_e_1,g_e_1,mean_y,b_mean_1,g_mean_1,se_b_a_0,se_b_a_1,se_g_a_1,se_b_cn_0,se_b_cn_1,se_g_cn_1,se_b_e_0,se_b_e_1,se_g_e_1,se_mean_y,se_b_mean_1,se_g_mean_1
12,2026072023,TRUE,0,0,,50,6100,122,122,122,33279.67699716515,25,70.39649200439453,0.2821311475409836,2.0670470461320294,1.1331864096539754,-0.0463151241473639,0.03850881165382075,0.9964645739713334,9.338755244667495e-4,-0.09960135436765856,0.6993359859661783,0.036948149957995474,-0.045219781641011474,1.942356253401904,0.017269018835406897,0.06201811622924956,0.0570751439007407,0.024010602651341396,0.072571555624439,0.04655147909133219,0.019598095080833197,0.05383981877943375,0.07806661080000361,0.02726986572122553,0.07683408507980138,0.1345583372525415,0.03820707758914421,0.10425743142225743
13,2026072024,TRUE,0,0,,50,6100,122,122,122,32944.19590449653,29,75.71074318885803,0.28475409836065574,2.0693332647404685,1.063480072101711,0.031618966337789683,-0.04619540866973262,0.9695181905469906,-0.015082924912790343,0.05201959764093031,0.6639128625356174,-0.027372552466151116,0.047793576059052774,1.768990130421279,0.08586524692948742,-0.08246050347769181,0.0521833399856959,0.02076490764354432,0.06586144063356604,0.04177718084850535,0.01761212115031598,0.054238676272546964,0.06712186326244687,0.03402375218716113,0.11483876390883124,0.12527004356236948,0.03597142344649281,0.10166653578393153
14,2026072025,TRUE,0,0,,50,6100,122,122,122,32931.62037019525,27,73.08776211738586,0.2836065573770492,2.06794337733398,1.1387325014800433,-0.01275126894519228,0.10021995286388427,0.9396324017231014,-0.032905800198754824,0.0020416097672661697,0.6266864421352271,0.004640484693028654,-0.07324372486963149,2.02348356991033,0.0035926921669607397,0.08510781611922552,0.0471670298242082,0.021257924932066505,0.05965724376083739,0.0436767892584501,0.019166816614231613,0.061565766396921504,0.07969485839597736,0.03526219631878396,0.11940462497519562,0.12978410915035687,0.03520229857399433,0.10277698504875317
15,2026072026,TRUE,0,0,,50,6100,122,122,122,32985.277875600696,26,72.97718381881714,0.2813114754098361,2.0666936808246343,1.0826206116068018,0.014690329532426044,-0.01993206590117274,0.8861671463091146,0.011975582181769306,0.014279146921267472,0.6758841864666357,-0.021297258124619894,0.1288030778473233,2.2642701145835242,-0.0722559191078868,-0.10620061056791151,0.05294818035896999,0.022095497578074573,0.06327906068265855,0.04775034239066663,0.0203475830238316,0.056214021018355716,0.07061599561795241,0.032845027186553334,0.09383596355889501,0.12525671540666491,0.035567907337535655,0.10325498173654951
16,2026072027,TRUE,0,0,,50,6100,122,122,122,32977.61430207042,26,53.13477802276611,0.28147540983606556,2.066906445417438,1.1266908019069644,-0.02422670836359539,-0.042979616004573284,0.8223413693766184,0.027098451659239017,-0.022659483056126407,0.6805734826848934,0.020843947988928063,0.04391902328246305,1.9098234392344926,0.00671389567519997,-0.049294501736890164,0.048843499194347426,0.026776652027827957,0.07492814267802607,0.05320408238196336,0.023348397784317697,0.059278536853082854,0.07643186875390717,0.035052312211378694,0.084120997728005,0.12710453848669392,0.035495047083771006,0.10304238509746552
17,2026072028,TRUE,0,0,,50,6100,122,122,122,32773.95510292671,26,72.52458310127258,0.2836065573770492,2.0684634214071442,1.039166506656239,-0.01775182531372497,0.0016922695145490372,0.9085001692902199,0.004949218196058919,0.03772689725989253,0.6912294591154587,0.03095355599729919,-0.0704382970147204,2.092127259783173,0.008148677488595176,-0.03786129217872804,0.052898939247411375,0.025281667323443457,0.08531462467745461,0.04523556205871022,0.01999236187520243,0.05650303901191355,0.06373397499042176,0.026527602660180217,0.09032150185321901,0.1228928356350753,0.03510625663707854,0.10115292640865114
18,2026072029,TRUE,0,0,,50,6100,122,122,122,32988.59396576485,25,70.45871210098267,0.28098360655737703,2.066700030301763,1.0092787907605445,0.032632761194818095,0.0023029621581028095,0.90618002843657,7.349702977358295e-4,-0.010730341726269414,0.7778988557618179,-0.047257694992366386,0.08773013489970016,2.1235375010675486,0.013733770139676698,0.15393114840158761,0.058742390321188304,0.023475572929852976,0.06433978336969955,0.04860525142663307,0.02149684815891431,0.060265381988143976,0.057049759038398644,0.029233163232939775,0.09465054411619539,0.12225247856698418,0.03602799516402461,0.1032367406454579
19,2026072030,TRUE,0,0,,50,6100,122,122,122,33095.45264885671,26,71.6184298992157,0.27442622950819673,2.0670908993706387,1.0968345406441824,0.006516047731857313,-0.02849980254265114,0.9807674121481093,-0.02012168780700538,4.6968249728275433e-4,0.6880371457488856,-0.022359451169880324,0.13774749015091944,1.914778674659176,-0.033312552649789634,-0.008945245904824648,0.05203495855784446,0.019941794724780124,0.06897757745509751,0.03980624511329636,0.016933441910132775,0.057840655956717904,0.06961380668577336,0.029922742534273215,0.09661068329397289,0.12891050267999932,0.03631600774204829,0.1043266550155634
20,2026072031,TRUE,0,0,,50,6100,122,122,122,33000.22518611037,32,79.55165886878967,0.28,2.068027297238905,1.0344694410385993,0.0323270569891939,-0.023835102407303722,0.9441069316306464,-0.02695787022600962,-0.05553124534772522,0.7577364328414993,-0.036093933457349424,0.03796645904741244,1.9754509442378934,0.038810846518746396,0.03498639446214423,0.06703189591954925,0.037006978994563934,0.07305747836543935,0.046858592665066,0.020907605241658002,0.06460915285039424,0.0724444414416606,0.05097642437431673,0.11796967436468288,0.12480722495400284,0.03648281196683096,0.10285155762619988
21,2026072032,TRUE,0,0,,50,6100,122,122,122,33093.88070308206,26,72.2618350982666,0.28032786885245903,2.0699688774519474,1.1803861494944858,-0.027019125468739025,-0.027136387414789145,0.8472417914435568,0.02547464522162666,0.11371601107307844,0.6597066162281188,0.014005895857646123,-0.041252306515079176,1.8910344871142848,0.046910939592590746,-0.017679719083819805,0.04236460363137565,0.01796506408176863,0.06482690280517364,0.0471010863656558,0.01830767256005743,0.04844647305643871,0.07275977315970542,0.028217752537825935,0.09331845072314486,0.1309660630468958,0.03519281095733873,0.10284175804330041
22,2026072033,TRUE,0,0,,50,6100,122,122,122,32972.70777730462,30,77.80570483207703,0.2839344262295082,2.069020818998479,1.1666647322443682,-0.03430160920523426,0.06658134517467872,0.8496382355387595,0.028878438589410766,-0.026784143196620726,0.6065977834540148,0.04459190348006732,-0.14085522486247606,1.9785695639452325,0.026726376128716478,-0.06140737983776274,0.04855594110815861,0.02382567797379028,0.06679584297795403,0.04806509573813147,0.02003724183448219,0.058553318711751824,0.09211825212646277,0.03697727210679811,0.10832215092758868,0.12983974485951583,0.035778810030076845,0.10276526993630505
23,2026072034,TRUE,0,0,,50,6100,122,122,122,32973.2536801499,26,71.78759598731995,0.27885245901639344,2.076697189895943,1.0227212618806,0.006564770451834069,0.05858907699536063,1.0034835456363842,-0.03592014277862381,0.04184810736849984,0.6687299604604681,0.02635068498861566,-0.05483524275889601,1.860544503414947,-0.0041437695795954336,-0.05702146696611058,0.053592837823141906,0.02022840402116374,0.0684495267906546,0.03774820228596185,0.016639700855362854,0.05911325357670167,0.06484001356545081,0.02475388168847409,0.09210360740068231,0.12435799145604987,0.03572475520440094,0.10444799070051083
24,2026072035,TRUE,0,0,,50,6100,122,122,122,33082.75434397232,27,73.89002990722656,0.2840983606557377,2.070155334233808,1.0699084296523427,0.010883788603798851,0.10296065145734362,0.9900057823700626,-0.01308579479713137,-0.06390713989300109,0.7274730537901698,-0.007027661599565053,-0.28558030633499704,2.050077582658284,0.04635841807839211,-0.14143881259269336,0.0501225258980005,0.019122431684652504,0.059929078752840106,0.0419780797938919,0.017844140842387796,0.056506957296442374,0.061636493364338206,0.026617814114494893,0.1553617742932602,0.12822897119494592,0.036865357459182214,0.10199498136330241
25,2026072036,TRUE,0,0,,50,6100,122,122,122,33036.9096714154,26,72.63454389572144,0.2854098360655738,2.0699422801194487,1.0941467607645892,-0.019523956859443924,0.15515647282540182,0.9077839263334612,-0.008559868737123189,-0.014514590327280669,0.7256329111604678,0.013388546077301293,-0.22076260050076646,1.9081936849444174,0.020746405365795008,0.008635564756264843,0.05128202228420615,0.019186696796927232,0.06970684486730871,0.047855122834513805,0.019938721502888033,0.0662421204535279,0.06446582472765965,0.02353826424136,0.13257650000423968,0.12743458735176266,0.035717373720011006,0.10490366393032483
26,2026072037,TRUE,0,0,,50,6100,122,122,122,32938.98473617034,26,53.85009407997131,0.2837704918032787,2.067039596435764,1.1124243546158699,0.0040078424663187815,-0.05318990692167867,0.8696839788698222,0.01455497337685539,9.439973667984108e-4,0.6880239337564503,-0.007423971819728626,-0.004935414063105639,1.8453862659653977,0.01976984003475855,0.09895337578002479,0.047951477810913294,0.018432938028631524,0.06467058172514034,0.047409138670345824,0.02040015170350782,0.05606765398037599,0.06780068870567538,0.027676398316057522,0.09729677222612576,0.1267650210214789,0.035094252044516785,0.10073196999938211
27,2026072038,TRUE,0,0,,50,6100,122,122,122,33115.551347687215,30,77.11558485031128,0.2842622950819672,2.0677593463668473,1.1323452538823078,0.023578628659432735,0.0035372627428435833,0.8901926955336009,-0.004910033151757362,-0.030724828061873582,0.7100212192905527,-0.047508582343027024,-0.04778578425939611,1.8638331530118064,-0.011979216274572475,0.20167372713056947,0.048373547265599864,0.018526486248725823,0.05186861522009929,0.04869239143607964,0.021603683381343587,0.06303347100155639,0.06641205560088764,0.03220269360586148,0.12663280854917228,0.12905626268386333,0.03624793734414769,0.10341465635392812
28,2026072039,TRUE,0,0,,50,6100,122,122,122,32885.975158602916,28,75.60412979125977,0.28,2.0703413309905954,1.1585834367354972,-0.033397483958453204,0.0705248182342568,0.9254661693579167,-0.005144946213884766,-0.0780199441798858,0.5447592132451293,0.046111622443800473,-0.006788149963881522,1.9166894775925711,-0.01477161889615185,-0.06193455988852395,0.051769791452610875,0.021768497130847202,0.0670889759205591,0.043509360179889184,0.017884373404641666,0.06246878218351795,0.10183930193920596,0.03648949741296269,0.09959127268552564,0.1299572144321978,0.03529574903150344,0.10242851006953069
29,2026072040,TRUE,0,0,,50,6100,122,122,122,32962.172859891725,23,68.4081962108612,0.2875409836065574,2.06707938212885,1.0823940911922059,0.0032215417489278456,-0.06492727964370013,0.9368720208627701,-0.016198905549062968,0.04813929828386171,0.6622598231606199,0.01876781031732411,0.007276568813983495,2.0406748238411305,-0.050194139642973847,0.020495179193798264,0.04830336502318976,0.019197593813025278,0.0694913427030412,0.04253240597819406,0.017815780731288606,0.05673155276314304,0.0676609483718887,0.02675738081439748,0.08629674963213049,0.12656154855001828,0.03609849313314876,0.10263168267459838
30,2026072041,TRUE,0,0,,50,6100,122,122,122,33017.85000120815,28,75.69034218788147,0.27524590163934426,2.0667564588458847,0.9859118611380863,-0.01998512855359127,0.16010164178691386,0.8905609772333126,0.0055856112739512765,0.03919733334912439,0.8077233493443995,0.01785285861795379,-0.18009372896731007,2.29454241320436,-0.043575174741102375,3.7599023562432646e-4,0.05713039493751799,0.023660540930716484,0.08010216801097243,0.0454998097846035,0.018732411370930086,0.059742600573031726,0.052570830037712415,0.02027615155372736,0.09588005599707648,0.12188038438200485,0.035577877953967135,0.10544802858319788
31,2026072042,TRUE,0,0,,50,6100,122,122,122,32931.088604008626,26,73.06478214263916,0.2768852459016393,2.0675759477131277,1.1057110204028016,-0.031213669451184763,0.21232046561718537,0.9085168396948327,0.004303216879692225,-0.05017666669396811,0.6424038911373963,0.043924948476369345,-0.33288987871945613,1.9357482847592034,0.047787802983744014,-0.17833869891434023,0.044612706275710845,0.017816717007530514,0.059245988164733907,0.04470028440330615,0.018747848607911902,0.05811812317929616,0.06769368056150182,0.024191686902731054,0.1494942664189497,0.12699669233500002,0.03555257150576397,0.10408430261949794
